group,Lead_h,w_MAE,w_RMSE,w_Rup_q95,w_Rdown_q95
non_ramp,3,0.27399527700203385,0.26686814278107496,0.3065036074822702,0.152632972734621
non_ramp,6,0.24941213496130396,0.2421689117955715,0.3373505726452812,0.1710683805978435
non_ramp,9,0.24509992984013554,0.26275783388339413,0.3470118898655274,0.1451303464109429
non_ramp,12,0.23917382768743814,0.28001899455093043,0.27660363738960353,0.20420354037202784
non_ramp,15,0.2421942666434463,0.2627864976835172,0.319638863207128,0.1753803724659086
non_ramp,18,0.21549625405761216,0.23086201329961656,0.3010353241812368,0.2526064084615344
ramp,3,0.28407417299952475,0.3249363294474358,0.23783011123584483,0.15315938631719475
ramp,6,0.23940000876253312,0.21317256404889165,0.359938557988053,0.1874888692005222
ramp,9,0.25044986824664356,0.26252385316546545,0.23554436028839898,0.251481918299492
ramp,12,0.23696943436416923,0.23784116801779,0.24911589179700727,0.2760735058210335
ramp,15,0.22821397841013308,0.2611343941037471,0.35468787693448134,0.15596375055163844
ramp,18,0.27494740641194615,0.29690915090546327,0.29245583962873006,0.1356876030538606
